country,countryCode,date,patientNumber
Algeria,DZA,1/1/2022,27
Algeria,DZA,1/2/2022,30
Algeria,DZA,1/3/2022,34
Algeria,DZA,1/4/2022,32
Algeria,DZA,1/5/2022,33
Algeria,DZA,1/6/2022,33
Algeria,DZA,1/7/2022,31
Algeria,DZA,1/8/2022,35
Algeria,DZA,1/9/2022,33
Algeria,DZA,1/10/2022,39
Algeria,DZA,1/11/2022,37
Algeria,DZA,1/12/2022,41
Algeria,DZA,1/13/2022,41
Algeria,DZA,1/14/2022,35
Algeria,DZA,1/15/2022,32
Algeria,DZA,1/16/2022,45
Algeria,DZA,1/17/2022,40
Algeria,DZA,1/18/2022,37
Algeria,DZA,1/19/2022,39
Algeria,DZA,1/20/2022,49
Algeria,DZA,1/21/2022,47
Algeria,DZA,1/22/2022,43
Algeria,DZA,1/23/2022,39
Algeria,DZA,1/24/2022,39
Algeria,DZA,1/25/2022,44
Algeria,DZA,1/26/2022,46
Algeria,DZA,1/27/2022,42
Algeria,DZA,1/28/2022,43
Algeria,DZA,1/29/2022,43
Algeria,DZA,1/30/2022,40
Algeria,DZA,1/31/2022,32
Algeria,DZA,2/1/2022,39
Algeria,DZA,2/2/2022,41
Algeria,DZA,2/3/2022,40
Algeria,DZA,2/4/2022,40
Algeria,DZA,2/5/2022,34
Algeria,DZA,2/6/2022,27
Algeria,DZA,2/7/2022,34
Algeria,DZA,2/8/2022,21
Algeria,DZA,2/9/2022,27
Algeria,DZA,2/10/2022,35
Algeria,DZA,2/11/2022,28
Algeria,DZA,2/12/2022,27
Algeria,DZA,2/13/2022,23
Algeria,DZA,2/14/2022,27
Algeria,DZA,2/15/2022,25
Algeria,DZA,2/16/2022,25
Algeria,DZA,2/17/2022,19
Algeria,DZA,2/18/2022,23
Algeria,DZA,2/19/2022,16
Algeria,DZA,2/20/2022,18
Algeria,DZA,2/21/2022,18
Algeria,DZA,2/22/2022,18
Algeria,DZA,2/23/2022,18
Algeria,DZA,2/24/2022,14
Algeria,DZA,2/25/2022,18
Algeria,DZA,2/26/2022,12
Algeria,DZA,2/27/2022,14
Algeria,DZA,2/28/2022,11
Algeria,DZA,3/1/2022,13
Algeria,DZA,3/2/2022,13
Algeria,DZA,3/3/2022,15
Algeria,DZA,3/4/2022,11
Algeria,DZA,3/5/2022,14
Algeria,DZA,3/6/2022,13
Algeria,DZA,3/7/2022,11
Algeria,DZA,3/8/2022,14
Algeria,DZA,3/9/2022,13
Algeria,DZA,3/10/2022,10
Algeria,DZA,3/11/2022,11
Algeria,DZA,3/12/2022,10
Algeria,DZA,3/13/2022,8
Algeria,DZA,3/14/2022,6
Algeria,DZA,3/15/2022,6
Algeria,DZA,3/16/2022,7
Algeria,DZA,3/17/2022,8
Algeria,DZA,3/18/2022,6
Algeria,DZA,3/19/2022,5
Algeria,DZA,3/20/2022,7
Algeria,DZA,3/21/2022,7
Algeria,DZA,3/22/2022,6
Algeria,DZA,3/23/2022,7
Argentina,ARG,1/1/2022,1012
