time,name,n
1,France,0.576468492
1,Korea,1.06353576
1,USA,0.318160403
1,Turkey,0.606602632
2,France,0.578191788
2,Korea,1.061101309
2,USA,0.318847055
2,Turkey,0.603030147
3,France,0.588540715
3,Korea,0.978906889
3,USA,0.306638957
3,Turkey,0.60383286
4,France,0.608973212
4,Korea,0.90599808
4,USA,0.29494659
4,Turkey,0.605358843
5,France,0.628820094
5,Korea,0.849241634
5,USA,0.285178568
5,Turkey,0.613714401
6,France,0.686192131
6,Korea,0.806429198
6,USA,0.281965786
6,Turkey,0.631547181
7,France,0.844996159
7,Korea,0.77381651
7,USA,0.324649767
7,Turkey,0.672802084
8,France,0.958982288
8,Korea,0.882671003
8,USA,0.364003457
8,Turkey,0.68896304
9,France,0.978364032
9,Korea,0.882620326
9,USA,0.363882981
9,Turkey,0.688721159
10,France,0.973120942
10,Korea,0.873866825
10,USA,0.364425121
10,Turkey,0.677734554
11,France,0.950492385
11,Korea,0.870680013
11,USA,0.359806691
11,Turkey,0.657511424
12,France,0.922157126
12,Korea,0.856671682
12,USA,0.35399211
12,Turkey,0.626174819
13,France,0.883620869
13,Korea,0.842386577
13,USA,0.346819359
13,Turkey,0.586588182
14,France,0.846405297
14,Korea,0.831639125
14,USA,0.339698537
14,Turkey,0.543471746
15,France,0.823238402
15,Korea,0.807781888
15,USA,0.328958699
15,Turkey,0.520668553
16,France,0.811878372
16,Korea,0.807596721
16,USA,0.324526027
16,Turkey,0.499539555
17,France,0.771559342
17,Korea,0.778433977
17,USA,0.306678423
17,Turkey,0.453870328
18,France,0.72105609
18,Korea,0.746207216
18,USA,0.293734118
18,Turkey,0.412870349
19,France,0.673947578
19,Korea,0.715617716
19,USA,0.279869629
19,Turkey,0.371921354
20,France,0.622927336
20,Korea,0.68789927
20,USA,0.264998604
20,Turkey,0.33621311
21,France,0.568413226
21,Korea,0.646020463
21,USA,0.24851926
21,Turkey,0.293003004
22,France,0.535972557
22,Korea,0.62855829
22,USA,0.241323066
22,Turkey,0.269972159
23,France,0.525434525
23,Korea,0.627201702
23,USA,0.238823642
23,Turkey,0.256340279
24,France,0.498426051
24,Korea,0.592947855
24,USA,0.237256569
24,Turkey,0.230422279
25,France,0.467665977
25,Korea,0.582178963
25,USA,0.229044345
25,Turkey,0.208763277
26,France,0.447533913
26,Korea,0.587219389
26,USA,0.221240729
26,Turkey,0.197294096
27,France,0.423002106
27,Korea,0.590844754
